newobsnum,bywhom?,refnum,refname,invasive_species,trophic_invader,response_var,response_var_details,response_var_units,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,pres_x,pres_n,pres_err,abs_x,abs_n,abs_err,error_type,control_type,abs_conditions,data_source,notes,include,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
102.2,Ben,191,Kerfoot2016,Bythotrephes longimanus,Predator,Abundance,density,individuals/L,Zooplankton,Lake,Observational,1054,1049,6.35,67,2.57,9.77,67,3.24,SEM,low invader abundance,low predator density,Figure 5b,Diacyclops bicuspidatus thomasi,1,1,1,0,1,0,0,1,"National Park Service Natural Resource Preservation Program, National Science Foundation and National Oceanic and Atmospheric and Atmospheric Administration Coastal Ocean Program, Episodic Events-Great Lakes Experiment",none stated,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,North America,kerfoot,1
104,Danie,192,Yuan2016,Spartina alterniflora,Primary-producer,Abundance,Abundance of methanogens,10^8 copies g−1 d.w.s,Other,Lake,Observational,1055,1050,7,4,1.71,1.94,4,0.71,SEM,uninvaded,Without invader present,Figure 5b,Native species: Phragmites and S. salsa--> reported values for phragmites and invader,1,0,1,0,0,0,0,0,(1) Special Fund for Forest Scientific Research in the Public Welfare (2) Strategic Priority Research Program of the Chinese Academy of Sciences (3) National Natural Science Foundation of China (4) Natural Science Foundation of Jiangsu Province,"(1) 201404210 (2) XDA05020501, XDB15020100 (3) 41501274 (4) BK20151057",Scientific reports,General,2016,5.228,2015,China,0,0,0,1,Asia,yuan,0
103,Danie,192,Yuan2016,Spartina alterniflora,Primary-producer,Diversity,Shannon's diversity,methanogens per gram dry weight soil,Other,Lake,Observational,1056,1051,2.18,4,0.02,2.21,4,0.02,SEM,uninvaded,Without invader present,Figure 5b,Native species: Phragmites and S. salsa--> reported values for phragmites and invader,1,0,1,0,0,0,0,0,(1) Special Fund for Forest Scientific Research in the Public Welfare (2) Strategic Priority Research Program of the Chinese Academy of Sciences (3) National Natural Science Foundation of China (4) Natural Science Foundation of Jiangsu Province,"(1) 201404210 (2) XDA05020501, XDB15020100 (3) 41501274 (4) BK20151056",Scientific reports,General,2016,5.228,2015,China,0,0,0,1,Asia,yuan,0
105.2,Danie,193,Zhu2015,Hydrocharis morsus-ranae L,Primary-producer,Abundance,Density,no./m2,Benthic Invertebrates,Lake,Manipulative,1057,1052,526.285,5,349.03,1275.729,5,456.58,SEM,before-after invasion,Without invader,Figure4a,Data from Sept. 20,1,0,0,0,0,0,0,1,New York Great Lakes Protection Fund,,Freshwater Science,Ecosystem,2015,2.443,2015,USA,0,0,0,0,North America,zhu,1
105,Danie,193,Zhu2015,Hydrocharis morsus-ranae L,Primary-producer,Diversity,Taxon richness of macroinvertabrates,,Benthic Invertebrates,Lake,Manipulative,1058,1053,10.08,5,4.67,9.79,5,4.37,SEM,before-after invasion,Without invader,Figure 4b,Control= untreated/ Data from Sept. 20,1,0,0,0,0,0,0,1,New York Great Lakes Protection Fund,,Freshwater Science,Ecosystem,2015,2.443,2015,USA,0,0,0,0,North America,zhu,1
105.1,Danie,193,Zhu2015,Hydrocharis morsus-ranae L,Primary-producer,Diversity,Simpsons Diversity,,Benthic Invertebrates,Lake,Manipulative,1058,1053,4.43,5,1.34,4.382,5,0.38,SEM,before-after invasion,Without invader,Figure 4b,control= untreated/ Data from Sept. 20,1,0,0,0,0,0,0,1,New York Great Lakes Protection Fund,,Freshwater Science,Ecosystem,2015,2.443,2015,USA,0,0,0,0,North America,zhu,1
106,Ben,194,Kolada2016,Elodea canadensis,Primary-producer,Physiochemistry,N,mg N/L,Nutrients-N,Lake,Observational,1059,1054,1.07,178,0.609,1.68,269,1.139,sd,uninvaded,without invader,Table 1,,0,0,1,0,0,0,0,0,"Polish Ministry of Science and Higher Education, Polish–Norwegian Research Fund (PNRF-220-AI-1/07)",,Biological Invasions,Invasions,2016,3.67,2015,Poland,0,0,0,0,Europe,kolada,0
106.1,Ben,194,Kolada2016,Elodea canadensis,Primary-producer,Physiochemistry,P,micrograms P/L,Nutrients-P,Lake,Observational,1060,1054,43,178,57.4,64,269,95.5,sd,uninvaded,without invader,Table 1,,0,0,1,0,0,0,0,0,"Polish Ministry of Science and Higher Education, Polish–Norwegian Research Fund (PNRF-220-AI-1/07)",,Biological Invasions,Invasions,2016,3.67,2015,Poland,0,0,0,0,Europe,kolada,0
107,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Glossiphonia complanata,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.09,7,0.39,0.53,7,0.43,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
108,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Erpobdella octoculta,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.11,7,0.34,0.39,7,0.41,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
109,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Potamopyrgus antipodarum,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.55,7,0.44,0.38,7,0.41,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
110,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Sphaeriidae,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.34,7,0.39,0.62,7,0.17,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
111,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Radix spp.,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.05,7,0.33,0.26,7,0.42,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
112,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Caenus spp.,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.19,7,0.39,0.37,7,0.39,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
113,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Beatis spp.,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.99,7,0.33,0.89,7,0.22,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
114,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Gammarus pulex,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,1,7,0.35,0.96,7,0.33,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
115,Tara,195,mathers2016,Pacifastacus leniusculus,Omnivore,Abundance,Hydropsyche spp.,probability of occurence,Benthic Invertebrates,River,Observational,1061,1055,0.81,7,0.35,0.86,7,0.25,half of 95% CI,before-after invasion,without invader,Figure 4,chose spring data out of spring or autum; chose before-after invasion as opposed to other control,1,1,0,0,0,1,0,0,"Glendonbrook doctoral studentship, Environment Agency",,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,Europe,mathers,1
116,Tara,196,mazerolle2014,"Phragmites australis, haplotype M",Primary-producer,Abundance,Lithobates clamitans,,Other,Lake,Observational,1062,1056,3.55,25,3.54,1.08,25,1.12,half of 95% CI,uninvaded,without invader,Figure 3,,1,8,1,1,0,0,0,1,"National Sciences and Engineering Research Council (NSERC), Fonds Que´be´cois pour la recherche en nature et technologie (FQRNT), Ducks Unlimited Canada, Canadian Wildlife Service, Quebec department of natural resources and wildlife (MRNF)",,Wetlands Ecology and Management,Conservation,2014,1.274,2014,Canada,0,0,1,0,North America,mazerolle,1
117.3,Tara,197,miranda2014,Tarebia granifera,Omnivore,Abundance,Lake N,ind.m-2,Benthic Invertebrates,Lake,Observational,1063,1057,5564,9,677,783,3,309,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
118,Tara,197,miranda2014,Tarebia granifera,Omnivore,Abundance,Lake S,ind.m-2,Benthic Invertebrates,Lake,Observational,1063,1057,6037,9,843,2150,3,1494,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
120.3,Tara,197,miranda2014,Tarebia granifera,Omnivore,Abundance,Lake L,ind.m-2,Benthic Invertebrates,Lake,Observational,1063,1057,30584,6,7203,5684,3,562,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
117.1,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake N,Shannon,Benthic Invertebrates,Lake,Observational,1064,1058,0.38,9,0.31,1.26,3,0.14,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
117.2,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake N,taxonnmic richness,Benthic Invertebrates,Lake,Observational,1064,1058,5.91,9,1.26,5.39,3,0,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
118.1,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake S,Shannon,Benthic Invertebrates,Lake,Observational,1064,1058,0.09,9,0.09,0.8193,3,0.35,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
118.2,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake S,taxonnmic richness,Benthic Invertebrates,Lake,Observational,1064,1058,5.08,9,2.21,12.44,3,2.33,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
120.1,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake L,Shannon,Benthic Invertebrates,Lake,Observational,1064,1058,0.6,6,0.21,0.73,3,0.47,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
120.2,Tara,197,miranda2014,Tarebia granifera,Omnivore,Diversity,Lake L,taxonnmic richness,Benthic Invertebrates,Lake,Observational,1064,1058,3.97,6,2.09,5.62,3,2.38,SEM,before-after invasion,before invader,Figure 5,trophic_invader=Herbivore but coded as Omnivore,1,5,1,0,1,0,0,0,"National Research Foundation South Africa (NRF), Marine and Coastal Management",,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,Africa,miranda,0
121.1,Tara,198,ruginis2014,Dreissena polymorpha,Filter-collector,Physiochemistry,NH4+ flux,µmol N m-2h-1,Nutrients-N,Estuary,Observational,1065,1059,853.15,9,319.35,23.31,9,34.97,sd,uninvaded,without invader,Figure4a,,1,2,1,0,0,0,0,0,Research Council of Lithuania Dreissena project No. LEK-12023,,Aquatic Sciences,General,2014,2.706,2014,Lithuania,0,1,0,0,Europe,ruginis,0
121.2,Tara,198,ruginis2014,Dreissena polymorpha,Filter-collector,Physiochemistry,NO3- flux,μmol N m-2h-1,Nutrients-N,Estuary,Observational,1065,1059,811.7,9,544.5,163.48,9,319.22,sd,uninvaded,without invader,Figure4a,,1,2,1,0,0,0,0,0,Research Council of Lithuania Dreissena project No. LEK-12023,,Aquatic Sciences,General,2014,2.706,2014,Lithuania,0,1,0,0,Europe,ruginis,0
122,Tara,198,ruginis2014,Dreissena polymorpha,Filter-collector,Physiochemistry,PO 4 3- flux,µmol m-2h-1,Nutrients-P,Estuary,Observational,1066,1059,66.69,9,29.3,-8.98,9,6.51,sd,uninvaded,without invader,Figure4b,,1,2,1,0,0,0,0,0,Research Council of Lithuania Dreissena project No. LEK-12023,,Aquatic Sciences,General,2014,2.706,2014,Lithuania,0,1,0,0,Europe,ruginis,0
123,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Abundance,Lake P-veg,no. m–2,Benthic Invertebrates,Lake,Observational,1067,1060,2377.45,5,850.26,1974.65,5,1167.54,sd,uninvaded,without invader,Figure2b,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
124,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Abundance,Lake S-veg,no. m–2,Benthic Invertebrates,Lake,Observational,1067,1060,1117.57,5,345.72,1334.47,5,576.56,sd,uninvaded,without invader,Figure2b,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
125,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Abundance,Lake P-stony,no. m–2,Benthic Invertebrates,Lake,Observational,1067,1060,1874.37,5,929.72,1651.68,5,1287.08,sd,uninvaded,without invader,Figure2a,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
126,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Abundance,Lake S-stony,no. m–2,Benthic Invertebrates,Lake,Observational,1067,1060,2761.85,5,734.39,2761.85,5,353.21,sd,uninvaded,without invader,Figure2a,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
127,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Diversity,Lake P-veg,Mean number of taxa,Benthic Invertebrates,Lake,Observational,1068,1061,39.8,5,6.29,38.11,5,7.12,sd,uninvaded,without invader,Figure3b,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
128,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Diversity,Lake S-veg,Mean number of taxa,Benthic Invertebrates,Lake,Observational,1068,1061,48,5,3.65,49,5,7.12,sd,uninvaded,without invader,Figure3b,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
129,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Diversity,Lake P-stony,Mean number of taxa,Benthic Invertebrates,Lake,Observational,1068,1061,34.6,5,11.92,34.73,5,11.09,sd,uninvaded,without invader,Figure3a,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
130,Tara,199,ruokonen2014,Pacifastacus leniusculus,Omnivore,Diversity,Lake S-stony,Mean number of taxa,Benthic Invertebrates,Lake,Observational,1068,1061,43.96,5,2.16,52.03,5,4.97,sd,uninvaded,without invader,Figure3a,chose 1m estimates because they were the middle depth examined,1,12,0,1,0,0,0,0,"Maj and Tor Nessling Foundation, Crayfish Research Program of the Finnish Game and Fisheries Institute",,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,Europe,ruokonen,0
131,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,26.3,4,7.35,29.52,6,2.33,sd,native species,Predators Absent Trial without invader is Crassostrea viginica (O) by itself,Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
132,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,22,4,7.7,23.43,4,2.19,sd,native species,Predators Absent Trial without invader is native clam Mercenaria mercenria (CL) by itself,Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
133,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,24.95,4,4.5,26.37,6,5.33,sd,native species,Predators Present Trial without invader is Crassostrea viginica (O) by itself,Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
134,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,20.83,4,0.61,17.38,4,4.77,sd,native species,Predators Present Trial without invader is native clam Mercenaria mercenria (CL) by itself ,Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
135,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,37.01,4,5.84,36.33,4,7.87,sd,native species,"Predators Absent CL and O vs. CL, O, and P (invasive)",Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
136,Ross,200,byers2014,Petrolisthes armatus,Filter-collector,Abundance,Chlorophyll a,µg/L,Phytoplankton,Estuary,Mesocosm,1069,1062,36.29,4,3.27,32.35,4,7.36,sd,native species,"Predators Present CL and O vs. CL, O and P (invasive) ",Table 2,Page 4 of paper,1,3,1,0,1,0,0,0,(1) Georgia Sea Grant and (2) NSF,(OCE-#0961853),PLOS ONE ,General,2014,2.885,2014,USA,0,0,0,0,North America,byers,1
137,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Abundance,density (stem),trees per ha-1,OM,River,Observational,1070,1063,700,3,81.6,1200,3,294,sd,native species,without invader Robinia pseudoacacia ,"Table 2 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
138,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Abundance,biomass (dry weight) leaves,kg h-1,Other,River,Observational,1071,1063,1487.35,3,273.2,855.7,3,325.1849,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
139,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Abundance,biomass (dry weight) wood,kg h-1,Other,River,Observational,1071,1063,33137.92,3,6757.9,12279.35,3,4925.873,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
140,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Abundance,biomass (dry weight) litter,kg h-1,Other,River,Observational,1071,1063,4732.8,3,761.8,3664.75,3,758.295,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
141,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Abundance,biomass (dry weight) soil,kg h-1,Other,River,Observational,1071,1063,1754666.67,3,1548.1,1692800,3,215457.9,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
142,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Physiochemistry,Nitrogen % of dry weight (leaves),%,Nutrients-N,River,Observational,1072,1064,3.22,3,0.3,1.43,3,0.196,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
143,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Physiochemistry,Nitrogen % of dry weight (litter),%,Nutrients-N,River,Observational,1072,1064,1.15,3,0.7,0.97,3,0.34,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
144,Ross,201,buzhdygan2016,Robinia pseudoacacia,Primary-producer,Physiochemistry,Nitrogen % of dry weight (soil),%,Nutrients-N,River,Observational,1072,1064,0.34,3,0.08,0.3,3,0.07,sd,native species,without invader Robinia pseudoacacia ,"Table 3 presents data on the invader and common natives, not effects",Page 5 of paper,0,1,1,0,0,0,0,0,(1) Ministry of Education and Science of Ukraine (2) Chernivtsi National University (3) Dahlem Research School and Dahlem Centre of Plant Sciences of Freie Universitat Berlin,(1) National Grant no. 113U003248 (3) Travel Grants,Ecological Modelling,General,2016,2.007,2015,USA,0,0,0,0,North America,buzhdygan,1
145,Ross,202,baldridge2014,Orconectes rusticus,Filter-collector,Diversity,species richness,Number per 25 m transect (p.789 paper),Macrophytes,Lake,Observational,1073,1065,0.7237,6,0.2393,9.1925,6,1.4357,SEM,uninvaded,without invader,"Figure 1, Table 1",1987 data,0,1,1,0,0,0,0,1,"(1) NSF (2) Global Linkages of Biology, Environment, and Society traning program at the University of Notre Dame (AKB) (3) University of Notre Dame Graduate School (AKB) (4) The University of Notre Dame Environmental Research Center (AKB). ",(1) NSF IGERT Integrative Graduate Education and Research Traineeship grant award (#0504495). ,Freshwater Science,Ecosystem,2014,1.762,2014,USA,0,0,0,0,North America,baldridge,1
146,Ross,202,baldridge2014,Orconectes rusticus,Filter-collector,Diversity,species richness,Number per 25 m transect (p.789 paper),Macrophytes,Lake,Observational,1073,1065,0.4824,6,0.1709,6.8657,6,0.445,SEM,uninvaded,without invader,"Figure 1, Table 1",2002 data,0,1,1,0,0,0,0,1,"(1) NSF (2) Global Linkages of Biology, Environment, and Society traning program at the University of Notre Dame (AKB) (3) University of Notre Dame Graduate School (AKB) (4) The University of Notre Dame Environmental Research Center (AKB). ",(1) NSF IGERT Integrative Graduate Education and Research Traineeship grant award (#0504495). ,Freshwater Science,Ecosystem,2014,1.762,2014,USA,0,0,0,0,North America,baldridge,1
